Gene,plot,species,clusters,plotType,plotNumber,groupBy
KIRREL,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
HRH1,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
EYA4,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
CDCA7,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
ARHGAP31,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
TOX,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
PDGFRA,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
PRSS12,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
NTNG1,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
LAMP5,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
TRPC3,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
SV2C,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
NDNF,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
CPLX3,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
CNR1,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
CCK,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
CALB2,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
CXCL14,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
VIP,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
PVALB,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
SST,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
GAD1,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
Txlnb,FigureS2B,mouse,1:49,violin,5,final
Sstr2,FigureS2B,mouse,1:49,violin,5,final
Sox13,FigureS2B,mouse,1:49,violin,5,final
Ror2,FigureS2B,mouse,1:49,violin,5,final
Pmepa1,FigureS2B,mouse,1:49,violin,5,final
Kirrel,FigureS2B,mouse,1:49,violin,5,final
Hrh1,FigureS2B,mouse,1:49,violin,5,final
Eya4,FigureS2B,mouse,1:49,violin,5,final
Cdca7,FigureS2B,mouse,1:49,violin,5,final
Arhgap31,FigureS2B,mouse,1:49,violin,5,final
Tox,FigureS2B,mouse,1:49,violin,5,final
Pdgfra,FigureS2B,mouse,1:49,violin,5,final
Prss12,FigureS2B,mouse,1:49,violin,5,final
Ntng1,FigureS2B,mouse,1:49,violin,5,final
Lamp5,FigureS2B,mouse,1:49,violin,5,final
Trpc3,FigureS2B,mouse,1:49,violin,5,final
Sv2c,FigureS2B,mouse,1:49,violin,5,final
Ndnf,FigureS2B,mouse,1:49,violin,5,final
Cplx3,FigureS2B,mouse,1:49,violin,5,final
Cnr1,FigureS2B,mouse,1:49,violin,5,final
Cck,FigureS2B,mouse,1:49,violin,5,final
Calb2,FigureS2B,mouse,1:49,violin,5,final
Cxcl14,FigureS2B,mouse,1:49,violin,5,final
Vip,FigureS2B,mouse,1:49,violin,5,final
Pvalb,FigureS2B,mouse,1:49,violin,5,final
Sst,FigureS2B,mouse,1:49,violin,5,final
Gad1,FigureS2B,mouse,1:49,violin,5,final
SNAP25,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
GAD1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SLC17A7,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
CCK,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
CNR1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
CXCL14,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
RELN,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SST,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
NDNF,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
VIP,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
PVALB,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
GRIK3,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
CUX2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
FLT3,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
LHX6,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
NTNG1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
TOX,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
PRSS12,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
ARHGAP31,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SOX13,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
TARID,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
HPCAL1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
EYA4,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
HRH1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
PMEPA1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
LAMP5,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SV2C,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
TRPC3,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
COL5A2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
C8ORF4,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
BAGE2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SEMA3C,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
BCAS1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
MC4R,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
ARHGAP36,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
DCN,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
TGFBR2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
PAX6,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
TSPAN12,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
TBL1X,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SHISA8,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
TAC3,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SNCG,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
EDNRA,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
IQGAP2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
MCTP2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
ARHGEF28,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
LINC01411,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
EGF,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
SLC17A6,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
CSF2RA,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
FGD2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
FGFR3,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
LAMA1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
F11-AS1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
KLRC3,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
KLRC2,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
CNDP1,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
OPALIN,FigureS1A,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",heatmap,6,cluster
